fpn,folder,rpath,rfolder,filename,name,ext,size,mtime,ctime,is_file,dst_fpn,action
C:\backup\GIT\COPYfireman\.git\COMMIT_EDITMSG,C:\backup\GIT\COPYfireman\.git,.git\COMMIT_EDITMSG,.git,COMMIT_EDITMSG,COMMIT_EDITMSG,,50,2020-12-29 15:07:44.953484,2020-12-29 19:06:17.738561,True,C:\backup\GIT\copied\.git\copy_COMMIT_EDITMSG,
C:\backup\GIT\COPYfireman\.git\config,C:\backup\GIT\COPYfireman\.git,.git\config,.git,config,config,,294,2020-12-27 18:46:06.328931,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_config,
C:\backup\GIT\COPYfireman\.git\description,C:\backup\GIT\COPYfireman\.git,.git\description,.git,description,description,,73,2020-12-27 18:46:04.411356,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_description,
C:\backup\GIT\COPYfireman\.git\FETCH_HEAD,C:\backup\GIT\COPYfireman\.git,.git\FETCH_HEAD,.git,FETCH_HEAD,FETCH_HEAD,,87,2020-12-28 14:01:18.749651,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_FETCH_HEAD,
C:\backup\GIT\COPYfireman\.git\HEAD,C:\backup\GIT\COPYfireman\.git,.git\HEAD,.git,HEAD,HEAD,,21,2020-12-27 18:46:06.322930,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_HEAD,
C:\backup\GIT\COPYfireman\.git\hooks\applypatch-msg.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\applypatch-msg.sample,.git\hooks,applypatch-msg.sample,applypatch-msg,sample,478,2020-12-27 18:46:04.412356,2020-12-29 19:06:17.769830,True,C:\backup\GIT\copied\.git\hooks\copy_applypatch-msg.sample,
C:\backup\GIT\COPYfireman\.git\hooks\commit-msg.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\commit-msg.sample,.git\hooks,commit-msg.sample,commit-msg,sample,896,2020-12-27 18:46:04.413356,2020-12-29 19:06:17.769830,True,C:\backup\GIT\copied\.git\hooks\copy_commit-msg.sample,
C:\backup\GIT\COPYfireman\.git\hooks\fsmonitor-watchman.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\fsmonitor-watchman.sample,.git\hooks,fsmonitor-watchman.sample,fsmonitor-watchman,sample,4655,2020-12-27 18:46:04.414357,2020-12-29 19:06:17.769830,True,C:\backup\GIT\copied\.git\hooks\copy_fsmonitor-watchman.sample,
C:\backup\GIT\COPYfireman\.git\hooks\post-update.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\post-update.sample,.git\hooks,post-update.sample,post-update,sample,189,2020-12-27 18:46:04.415356,2020-12-29 19:06:17.769830,True,C:\backup\GIT\copied\.git\hooks\copy_post-update.sample,
C:\backup\GIT\COPYfireman\.git\hooks\pre-applypatch.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-applypatch.sample,.git\hooks,pre-applypatch.sample,pre-applypatch,sample,424,2020-12-27 18:46:04.416357,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-applypatch.sample,
